time,demoic_acid_concentration
UTC,ppm
2018-03-15T00:00:00Z,5
2018-04-15T00:00:00Z,7
2018-05-15T00:00:00Z,3
2018-06-15T00:00:00Z,2
2018-07-15T00:00:00Z,2
2018-08-15T00:00:00Z,2
2018-09-15T00:00:00Z,2
2018-10-15T00:00:00Z,3
2018-11-15T00:00:00Z,2
2018-12-15T00:00:00Z,3
